date,price,type
3/1/15,849,1 Bedroom
2/1/15,857,1 Bedroom
1/1/15,853,1 Bedroom
12/1/14,855,1 Bedroom
11/1/14,866,1 Bedroom
5/1/21,1360,2 Bedroom
4/1/21,1395,2 Bedroom
3/1/21,1389,2 Bedroom
2/1/21,1398,2 Bedroom
1/1/21,1423,2 Bedroom
12/1/20,1482,2 Bedroom
11/1/20,1415,2 Bedroom
10/1/20,1433,2 Bedroom
9/1/20,1396,2 Bedroom
8/1/20,1410,2 Bedroom
7/1/20,1436,2 Bedroom
6/1/20,1403,2 Bedroom
5/1/20,1400,2 Bedroom
4/1/20,1390,2 Bedroom
3/1/20,1445,2 Bedroom
2/1/20,1490,2 Bedroom
1/1/20,1480,2 Bedroom
12/1/19,1484,2 Bedroom
11/1/19,1501,2 Bedroom
10/1/19,1500,2 Bedroom
9/1/19,1527,2 Bedroom
8/1/19,1494,2 Bedroom
7/1/19,1434,2 Bedroom
6/1/19,1346,2 Bedroom
5/1/19,1331,2 Bedroom
4/1/19,1331,2 Bedroom
3/1/19,1386,2 Bedroom
2/1/19,1424,2 Bedroom
1/1/19,1473,2 Bedroom
12/1/18,1448,2 Bedroom
11/1/18,1368,2 Bedroom
10/1/18,1396,2 Bedroom
9/1/18,1403,2 Bedroom
8/1/18,1384,2 Bedroom
7/1/18,1322,2 Bedroom
6/1/18,1356,2 Bedroom
5/1/18,1395,2 Bedroom
4/1/18,1407,2 Bedroom
3/1/18,1409,2 Bedroom
2/1/18,1405,2 Bedroom
1/1/18,1408,2 Bedroom
12/1/17,1376,2 Bedroom
11/1/17,1337,2 Bedroom
10/1/17,1353,2 Bedroom
9/1/17,1446,2 Bedroom
8/1/17,1412,2 Bedroom
7/1/17,1330,2 Bedroom
6/1/17,1273,2 Bedroom
5/1/17,1277,2 Bedroom
4/1/17,1328,2 Bedroom
3/1/17,1370,2 Bedroom
2/1/17,1335,2 Bedroom
1/1/17,1325,2 Bedroom
12/1/16,1289,2 Bedroom
11/1/16,1262,2 Bedroom
10/1/16,1222,2 Bedroom
9/1/16,1189,2 Bedroom
8/1/16,1195,2 Bedroom
7/1/16,1298,2 Bedroom
6/1/16,1293,2 Bedroom
5/1/16,1196,2 Bedroom
4/1/16,1201,2 Bedroom
3/1/16,1327,2 Bedroom
2/1/16,1337,2 Bedroom
1/1/16,1274,2 Bedroom
12/1/15,1190,2 Bedroom
11/1/15,1092,2 Bedroom
10/1/15,1084,2 Bedroom
9/1/15,1072,2 Bedroom
8/1/15,1098,2 Bedroom
7/1/15,1089,2 Bedroom
6/1/15,1060,2 Bedroom
5/1/15,1092,2 Bedroom
4/1/15,1091,2 Bedroom
3/1/15,1088,2 Bedroom
2/1/15,1099,2 Bedroom
1/1/15,1105,2 Bedroom
12/1/14,1092,2 Bedroom
11/1/14,1040,2 Bedroom
4/1/23,2200,3 Bedroom
3/1/23,2190,3 Bedroom
2/1/23,2087,3 Bedroom
1/1/23,2055,3 Bedroom
12/1/22,2029,3 Bedroom
11/1/22,2336,3 Bedroom
10/1/22,2282,3 Bedroom
9/1/22,2131,3 Bedroom
8/1/22,2019,3 Bedroom
7/1/22,2101,3 Bedroom
6/1/22,1913,3 Bedroom
5/1/22,1911,3 Bedroom
4/1/22,1903,3 Bedroom
3/1/22,1900,3 Bedroom
2/1/22,1936,3 Bedroom
1/1/22,1800,3 Bedroom
12/1/21,1874,3 Bedroom
11/1/21,2011,3 Bedroom
10/1/21,2014,3 Bedroom
9/1/21,1916,3 Bedroom
8/1/21,1741,3 Bedroom
7/1/21,1731,3 Bedroom
6/1/21,1697,3 Bedroom
5/1/21,1699,3 Bedroom
4/1/21,1701,3 Bedroom
3/1/21,1740,3 Bedroom
2/1/21,1712,3 Bedroom
1/1/21,1739,3 Bedroom
12/1/20,1761,3 Bedroom
11/1/20,1820,3 Bedroom
10/1/20,1864,3 Bedroom
9/1/20,1682,3 Bedroom
8/1/20,1712,3 Bedroom
7/1/20,1783,3 Bedroom
6/1/20,1767,3 Bedroom
5/1/20,1768,3 Bedroom
4/1/20,1757,3 Bedroom
3/1/20,1753,3 Bedroom
2/1/20,1795,3 Bedroom
1/1/20,1785,3 Bedroom
12/1/19,1779,3 Bedroom
11/1/19,1799,3 Bedroom
10/1/19,1800,3 Bedroom
9/1/19,1793,3 Bedroom
8/1/19,1800,3 Bedroom
7/1/19,1774,3 Bedroom
6/1/19,1718,3 Bedroom
5/1/19,1682,3 Bedroom
4/1/19,1672,3 Bedroom
3/1/19,1747,3 Bedroom
2/1/19,1779,3 Bedroom
1/1/19,1756,3 Bedroom
12/1/18,1750,3 Bedroom
11/1/18,1762,3 Bedroom
10/1/18,1775,3 Bedroom
9/1/18,1692,3 Bedroom
8/1/18,1606,3 Bedroom
7/1/18,1597,3 Bedroom
6/1/18,1593,3 Bedroom
5/1/18,1597,3 Bedroom
4/1/18,1623,3 Bedroom
3/1/18,1668,3 Bedroom
2/1/18,1694,3 Bedroom
1/1/18,1689,3 Bedroom
12/1/17,1678,3 Bedroom
11/1/17,1608,3 Bedroom
10/1/17,1549,3 Bedroom
9/1/17,1570,3 Bedroom
8/1/17,1586,3 Bedroom
7/1/17,1646,3 Bedroom
6/1/17,1650,3 Bedroom
5/1/17,1622,3 Bedroom
4/1/17,1615,3 Bedroom
3/1/17,1619,3 Bedroom
2/1/17,1624,3 Bedroom
1/1/17,1606,3 Bedroom
12/1/16,1569,3 Bedroom
11/1/16,1503,3 Bedroom
10/1/16,1479,3 Bedroom
9/1/16,1489,3 Bedroom
8/1/16,1490,3 Bedroom
7/1/16,1464,3 Bedroom
6/1/16,1525,3 Bedroom
5/1/16,1476,3 Bedroom
4/1/16,1384,3 Bedroom
3/1/16,1453,3 Bedroom
2/1/16,1284,3 Bedroom
1/1/16,1271,3 Bedroom
12/1/15,1246,3 Bedroom
11/1/15,1423,3 Bedroom
10/1/15,1456,3 Bedroom
9/1/15,1458,3 Bedroom
8/1/15,1401,3 Bedroom
7/1/15,1405,3 Bedroom
6/1/15,1414,3 Bedroom
5/1/15,1433,3 Bedroom
4/1/15,1396,3 Bedroom
3/1/15,1405,3 Bedroom
2/1/15,1351,3 Bedroom
1/1/15,1383,3 Bedroom
12/1/14,1388,3 Bedroom
11/1/14,1321,3 Bedroom
4/1/23,2700,4 Bedroom
3/1/23,2748,4 Bedroom
2/1/23,3003,4 Bedroom
1/1/23,3041,4 Bedroom
12/1/22,3230,4 Bedroom
11/1/22,3300,4 Bedroom
10/1/22,3370,4 Bedroom
9/1/22,2637,4 Bedroom
8/1/22,2637,4 Bedroom
7/1/22,2444,4 Bedroom
6/1/22,2130,4 Bedroom
5/1/22,2263,4 Bedroom
4/1/22,2440,4 Bedroom
3/1/22,2112,4 Bedroom
2/1/22,2450,4 Bedroom
1/1/22,2777,4 Bedroom
12/1/21,2742,4 Bedroom
11/1/21,3054,4 Bedroom
10/1/21,2950,4 Bedroom
9/1/21,2430,4 Bedroom
8/1/21,2053,4 Bedroom
7/1/21,2066,4 Bedroom
6/1/21,2197,4 Bedroom
5/1/21,2217,4 Bedroom
4/1/21,2121,4 Bedroom
3/1/21,2143,4 Bedroom
2/1/21,2456,4 Bedroom
1/1/21,2659,4 Bedroom
12/1/20,2999,4 Bedroom
11/1/20,2999,4 Bedroom
10/1/20,2959,4 Bedroom
9/1/20,2331,4 Bedroom
8/1/20,2100,4 Bedroom
7/1/20,2219,4 Bedroom
6/1/20,2262,4 Bedroom
5/1/20,2319,4 Bedroom
4/1/20,2361,4 Bedroom
3/1/20,2518,4 Bedroom
2/1/20,2779,4 Bedroom
1/1/20,2805,4 Bedroom
12/1/19,2856,4 Bedroom
11/1/19,2990,4 Bedroom
10/1/19,2987,4 Bedroom
9/1/19,2456,4 Bedroom
8/1/19,2205,4 Bedroom
7/1/19,2266,4 Bedroom
